species,longitude,latitude
Chrysocyon brachyurus,-48.744911058,-15.9653273289
Chrysocyon brachyurus,-49.0899587204,-16.0301054457
Chrysocyon brachyurus,-43.2882944529,-22.2883910996
Chrysocyon brachyurus,-43.9338714241,-20.2135131925
Chrysocyon brachyurus,-54.1235742525,-25.9330411527
Chrysocyon brachyurus,-52.3367545654,-13.0426316999
Chrysocyon brachyurus,-61.088434895,-30.097949291
Chrysocyon brachyurus,-47.7656979507,-21.6116088733
Chrysocyon brachyurus,-44.72466131,-22.3469262109
Chrysocyon brachyurus,-59.7406062324,-26.9703308693
Chrysocyon brachyurus,-57.509075709,-28.996776396
Chrysocyon brachyurus,-46.349722,-23.05
